Index,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BPAT_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat,
10,2248.71578,4842.627283,2751.822822,8832.960161,318.8479689,6325.34875,7507.943686,19663.75486,4216.661976,507.759154,1607.857908,1299.896562,1139.388295,398.1972047,983.2346729,2271.724424,6064.214135,4930.913683,2287.742989,3760.740817,1032.470801,6844.230961,2006.478694,3694.437746,2239.327169,9817.912867,4709.041542,1575.568427,1641.046534,5222.636774,2096.007135,409.1669291,732.6213018,135.0397812,4272.814673,1412.545019,137.3504702,
11,2259.397239,4606.906692,2746.713682,8899.545072,321.2377594,6313.604864,7494.028101,19627.21426,4208.6859,511.501496,1552.160946,1309.113479,1137.530552,394.1966051,974.7488034,2256.089784,6052.943618,4957.09882,2330.844378,3785.566274,1023.922555,6862.040939,2006.633633,3718.193811,2195.530953,9751.406628,4744.530756,1587.442539,1649.662189,4966.741807,2012.848048,408.407254,738.1426279,135.7847841,4244.220874,1354.479654,140.6607597,
12,2244.53039,4431.439755,2665.055901,8838.993224,318.9474225,6125.906027,7271.241573,19044.2726,4084.282515,507.8468258,1495.045569,1299.912612,1104.91081,393.3963986,972.2718963,2252.090078,5873.178627,4762.672173,2326.485506,3756.504355,1020.791588,6772.524853,1990.946738,3693.944068,2103.813939,9429.351612,4710.654439,1576.108076,1584.838446,4777.518167,1939.902464,396.2656062,732.8722324,130.4021807,4149.648663,1303.45724,140.4097952,
13,2205.024608,4276.897974,2608.607923,8710.997914,313.2618461,5996.154526,7117.149683,18639.86895,3997.575033,498.742045,1455.741856,1276.515058,1081.520612,391.5294356,966.7365142,2240.892582,5748.471161,4572.360625,2305.285344,3718.08872,1016.060671,6631.470296,1982.575499,3668.382874,2017.047623,9188.635062,4626.765355,1548.040158,1523.477698,4610.833969,1877.268257,387.8723895,719.8209715,125.2624898,4080.387461,1258.332782,138.2546413,
14,2170.618109,4171.907864,2553.985015,8578.5205,308.2797233,5870.598133,6968.210547,18250.50987,3914.27675,490.8623716,1425.145077,1256.442391,1059.6243,384.0617074,948.5194536,2199.507167,5628.402556,4430.174955,2281.644248,3663.513303,999.3491112,6614.465101,1976.311818,3617.329502,1960.03219,9051.412607,4553.096439,1523.391741,1476.703149,4497.677192,1833.758437,379.7505411,708.3597395,121.368662,4039.108125,1227.446172,137.0500067,
15,2140.621242,4091.718608,2501.745592,8429.238687,302.7451807,5750.520428,6825.711634,17877.64117,3834.406977,482.0420687,1431.28847,1233.872518,1038.064328,378.1938974,934.1377691,2167.567044,5513.417592,4291.063809,2260.675586,3599.074851,987.1567325,6483.377984,1980.46386,3554.207684,1919.541821,9001.541428,4471.359547,1496.043912,1429.97987,4411.282164,1797.328129,371.9830918,695.6433115,117.4781928,4041.456716,1201.723122,135.9969544,
16,2165.366355,4104.716212,2542.299595,8515.300885,306.39057,5843.73799,6936.25825,18166.58943,3896.041505,487.8640063,1494.116862,1248.911578,1053.968786,377.9273165,933.961498,2163.584331,5602.53086,4290.072002,2258.757497,3630.10846,987.661807,6432.294389,1992.526083,3579.590172,1940.202069,9142.143421,4525.132413,1514.035435,1430.871326,4424.895652,1809.68357,378.0130429,704.009164,117.4770395,4096.327033,1206.506895,135.8453687,
17,2276.324254,4186.29334,2689.351052,8910.372846,321.1054212,6181.75094,7337.580963,19217.66018,4120.843558,511.413344,1595.212659,1309.092121,1113.513749,382.4613562,946.8990505,2188.617515,5926.679794,4494.563642,2345.714463,3793.127494,1000.871528,6576.520665,2033.001736,3734.217516,2012.919446,9676.096953,4742.384551,1586.724454,1500.041272,4511.76418,1859.805621,399.8780381,737.8087265,123.1094645,4269.957404,1236.336507,141.4133216,
18,2373.074458,4605.48088,3025.470362,9333.971798,335.3340047,6954.355863,8254.592388,21619.59798,4636.471128,533.936356,1670.166797,1366.785389,1248.226784,407.2653769,1007.341956,2328.076378,6667.424094,4954.035814,2509.170291,3993.663434,1061.275853,6957.758523,2112.906918,3929.881025,2223.627683,10654.53495,4952.641815,1657.073102,1654.818697,4962.982547,2056.266911,449.8554222,770.5200436,135.7017713,4564.048623,1362.224856,150.9451217,
19,2401.365938,5026.498154,3212.348269,9500.739294,341.2698445,7383.914018,8764.46044,22955.2753,4922.836292,543.4133327,1691.295683,1391.026265,1323.626495,421.6677335,1042.166386,2412.540884,7079.341495,5167.235071,2579.338153,4068.476474,1096.660381,7285.10491,2163.151331,3995.043035,2372.362016,11162.63156,5040.292495,1686.399589,1726.803517,5417.963659,2229.763585,477.6421891,784.1565245,141.5022993,4718.55596,1477.209922,155.611647,
